,name,price,point,home_team,away_team,bookmakers.title,commence_time
0,Over,1.91,209.0,New York Knicks,Boston Celtics,DraftKings,2022-01-07T00:35:00Z
1,Under,1.91,209.0,New York Knicks,Boston Celtics,DraftKings,2022-01-07T00:35:00Z
2,Over,1.91,208.5,New York Knicks,Boston Celtics,BetMGM,2022-01-07T00:35:00Z
3,Under,1.91,208.5,New York Knicks,Boston Celtics,BetMGM,2022-01-07T00:35:00Z
4,Over,1.91,209.0,New York Knicks,Boston Celtics,WynnBET,2022-01-07T00:35:00Z
5,Under,1.91,209.0,New York Knicks,Boston Celtics,WynnBET,2022-01-07T00:35:00Z
6,Over,1.91,210.0,New York Knicks,Boston Celtics,FanDuel,2022-01-07T00:35:00Z
7,Under,1.91,210.0,New York Knicks,Boston Celtics,FanDuel,2022-01-07T00:35:00Z
8,Over,1.91,209.5,New York Knicks,Boston Celtics,FOX Bet,2022-01-07T00:35:00Z
9,Under,1.91,209.5,New York Knicks,Boston Celtics,FOX Bet,2022-01-07T00:35:00Z
10,Over,1.89,209.5,New York Knicks,Boston Celtics,BetRivers,2022-01-07T00:35:00Z
11,Under,1.92,209.5,New York Knicks,Boston Celtics,BetRivers,2022-01-07T00:35:00Z
12,Over,1.89,209.5,New York Knicks,Boston Celtics,Barstool Sportsbook,2022-01-07T00:35:00Z
13,Under,1.92,209.5,New York Knicks,Boston Celtics,Barstool Sportsbook,2022-01-07T00:35:00Z
14,Over,1.9,209.0,New York Knicks,Boston Celtics,Unibet,2022-01-07T00:35:00Z
15,Under,1.92,209.0,New York Knicks,Boston Celtics,Unibet,2022-01-07T00:35:00Z
16,Over,1.89,209.5,New York Knicks,Boston Celtics,SugarHouse,2022-01-07T00:35:00Z
17,Under,1.92,209.5,New York Knicks,Boston Celtics,SugarHouse,2022-01-07T00:35:00Z
18,Over,1.89,209.5,New York Knicks,Boston Celtics,TwinSpires,2022-01-07T00:35:00Z
19,Under,1.92,209.5,New York Knicks,Boston Celtics,TwinSpires,2022-01-07T00:35:00Z
20,Over,1.91,209.0,New York Knicks,Boston Celtics,William Hill (US),2022-01-07T00:35:00Z
21,Under,1.91,209.0,New York Knicks,Boston Celtics,William Hill (US),2022-01-07T00:35:00Z
22,Over,1.91,209.0,New York Knicks,Boston Celtics,Bovada,2022-01-07T00:35:00Z
23,Under,1.91,209.0,New York Knicks,Boston Celtics,Bovada,2022-01-07T00:35:00Z
24,Over,1.92,209.0,New York Knicks,Boston Celtics,GTbets,2022-01-07T00:35:00Z
25,Under,1.92,209.0,New York Knicks,Boston Celtics,GTbets,2022-01-07T00:35:00Z
26,Over,1.91,209.5,New York Knicks,Boston Celtics,MyBookie.ag,2022-01-07T00:35:00Z
27,Under,1.91,209.5,New York Knicks,Boston Celtics,MyBookie.ag,2022-01-07T00:35:00Z
28,Over,1.9,208.5,New York Knicks,Boston Celtics,BetOnline.ag,2022-01-07T00:35:00Z
29,Under,1.9,208.5,New York Knicks,Boston Celtics,BetOnline.ag,2022-01-07T00:35:00Z
30,Over,1.91,209.0,New York Knicks,Boston Celtics,BetUS,2022-01-07T00:35:00Z
31,Under,1.91,209.0,New York Knicks,Boston Celtics,BetUS,2022-01-07T00:35:00Z
32,Over,1.92,218.5,Memphis Grizzlies,Detroit Pistons,Unibet,2022-01-07T01:00:00Z
33,Under,1.89,218.5,Memphis Grizzlies,Detroit Pistons,Unibet,2022-01-07T01:00:00Z
34,Over,1.9,218.0,Memphis Grizzlies,Detroit Pistons,BetOnline.ag,2022-01-07T01:00:00Z
35,Under,1.9,218.0,Memphis Grizzlies,Detroit Pistons,BetOnline.ag,2022-01-07T01:00:00Z
36,Over,1.92,218.5,Memphis Grizzlies,Detroit Pistons,TwinSpires,2022-01-07T01:00:00Z
37,Under,1.88,218.5,Memphis Grizzlies,Detroit Pistons,TwinSpires,2022-01-07T01:00:00Z
38,Over,1.91,218.0,Memphis Grizzlies,Detroit Pistons,Bovada,2022-01-07T01:00:00Z
39,Under,1.91,218.0,Memphis Grizzlies,Detroit Pistons,Bovada,2022-01-07T01:00:00Z
40,Over,1.91,218.0,Memphis Grizzlies,Detroit Pistons,FanDuel,2022-01-07T01:00:00Z
41,Under,1.91,218.0,Memphis Grizzlies,Detroit Pistons,FanDuel,2022-01-07T01:00:00Z
