,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2,Bet
362,Over,1.88,143.0,Robert Morris Colonials,Cleveland St Vikings,BetRivers,2022-01-08T00:00:00Z,1.91,155.5,1.92,155.5,True
363,Under,1.93,143.0,Robert Morris Colonials,Cleveland St Vikings,BetRivers,2022-01-08T00:00:00Z,1.91,155.5,1.92,155.5,True
364,Over,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,BetUS,2022-01-08T00:00:00Z,1.92,155.5,1.91,155.5,True
365,Under,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,BetUS,2022-01-08T00:00:00Z,1.89,155.5,1.91,155.5,True
366,Over,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,DraftKings,2022-01-08T00:00:00Z,1.92,155.5,1.92,155.5,True
367,Under,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,DraftKings,2022-01-08T00:00:00Z,1.89,155.5,1.89,155.5,True
368,Over,1.85,144.0,Robert Morris Colonials,Cleveland St Vikings,FOX Bet,2022-01-08T00:00:00Z,1.88,155.5,1.92,155.5,True
369,Under,2.0,144.0,Robert Morris Colonials,Cleveland St Vikings,FOX Bet,2022-01-08T00:00:00Z,1.86,155.5,1.89,155.5,True
370,Over,1.93,144.5,Robert Morris Colonials,Cleveland St Vikings,FanDuel,2022-01-08T00:00:00Z,1.91,155.5,1.88,155.5,True
371,Under,1.89,144.5,Robert Morris Colonials,Cleveland St Vikings,FanDuel,2022-01-08T00:00:00Z,1.91,155.5,1.86,155.5,True
372,Over,1.92,143.5,Robert Morris Colonials,Cleveland St Vikings,GTbets,2022-01-08T00:00:00Z,1.91,155.5,1.91,155.5,True
373,Under,1.92,143.5,Robert Morris Colonials,Cleveland St Vikings,GTbets,2022-01-08T00:00:00Z,1.91,155.5,1.91,155.5,True
374,Over,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,PointsBet (US),2022-01-08T00:00:00Z,1.91,147.0,1.91,155.5,True
375,Under,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,PointsBet (US),2022-01-08T00:00:00Z,1.92,147.0,1.91,155.5,True
376,Over,1.88,143.0,Robert Morris Colonials,Cleveland St Vikings,SugarHouse,2022-01-08T00:00:00Z,1.91,147.0,1.91,149.0,True
377,Under,1.93,143.0,Robert Morris Colonials,Cleveland St Vikings,SugarHouse,2022-01-08T00:00:00Z,1.92,147.0,1.91,149.0,True
378,Over,1.88,143.0,Robert Morris Colonials,Cleveland St Vikings,TwinSpires,2022-01-08T00:00:00Z,1.91,147.5,1.91,149.0,True
379,Under,1.93,143.0,Robert Morris Colonials,Cleveland St Vikings,TwinSpires,2022-01-08T00:00:00Z,1.91,147.5,1.91,149.0,True
380,Over,1.85,143.0,Robert Morris Colonials,Cleveland St Vikings,Unibet,2022-01-08T00:00:00Z,1.87,147.5,1.91,148.5,True
381,Under,1.9,143.0,Robert Morris Colonials,Cleveland St Vikings,Unibet,2022-01-08T00:00:00Z,1.95,147.5,1.91,148.5,True
382,Over,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,William Hill (US),2022-01-08T00:00:00Z,1.91,147.0,1.91,148.5,True
383,Under,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,William Hill (US),2022-01-08T00:00:00Z,1.91,147.0,1.91,148.5,True
384,Over,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,WynnBET,2022-01-08T00:00:00Z,1.92,147.5,2.0,148.5,True
385,Under,1.91,143.5,Robert Morris Colonials,Cleveland St Vikings,WynnBET,2022-01-08T00:00:00Z,1.92,147.5,1.85,148.5,True
394,Over,1.92,149.0,SE Louisiana Lions,Mcneese St Mcneese,GTbets,2022-01-07T23:00:00Z,1.91,143.5,1.93,141.5,True
395,Under,1.92,149.0,SE Louisiana Lions,Mcneese St Mcneese,GTbets,2022-01-07T23:00:00Z,1.91,143.5,1.88,141.5,True
396,Over,1.88,149.5,SE Louisiana Lions,Mcneese St Mcneese,Unibet,2022-01-07T23:00:00Z,1.88,143.0,1.91,141.5,True
397,Under,1.87,149.5,SE Louisiana Lions,Mcneese St Mcneese,Unibet,2022-01-07T23:00:00Z,1.93,143.0,1.91,141.5,True
