,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2,Bet
132,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetUS,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5,True
133,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,BetUS,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5,True
134,Over,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,Bovada,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5,True
135,Under,1.91,153.0,Georgetown Hoyas,Marquette Golden Eagles,Bovada,2022-01-07T23:30:00Z,1.91,133.5,1.91,135.5,True
156,Over,1.92,139.5,Harvard Crimson,Brown Bears,Barstool Sportsbook,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0,True
157,Under,1.88,139.5,Harvard Crimson,Brown Bears,Barstool Sportsbook,2022-01-08T00:00:00Z,1.92,153.0,1.92,153.0,True
158,Over,1.92,139.5,Harvard Crimson,Brown Bears,BetRivers,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0,True
159,Under,1.88,139.5,Harvard Crimson,Brown Bears,BetRivers,2022-01-08T00:00:00Z,1.92,153.0,1.92,153.0,True
160,Over,1.91,139.0,Harvard Crimson,Brown Bears,BetUS,2022-01-08T00:00:00Z,1.87,153.0,1.87,153.0,True
161,Under,1.91,139.0,Harvard Crimson,Brown Bears,BetUS,2022-01-08T00:00:00Z,1.88,153.0,1.88,153.0,True
162,Over,1.91,139.0,Harvard Crimson,Brown Bears,Bovada,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0,True
163,Under,1.91,139.0,Harvard Crimson,Brown Bears,Bovada,2022-01-08T00:00:00Z,1.91,153.0,1.91,153.0,True
164,Over,1.83,138.5,Harvard Crimson,Brown Bears,DraftKings,2022-01-08T00:00:00Z,1.87,153.0,1.87,153.0,True
165,Under,2.0,138.5,Harvard Crimson,Brown Bears,DraftKings,2022-01-08T00:00:00Z,1.95,153.0,1.95,153.0,True
208,Over,1.92,152.5,Houston Baptist Huskies,New Orleans Privateers,Barstool Sportsbook,2022-01-07T17:00:00Z,1.92,137.0,1.92,137.0,True
209,Under,1.91,152.5,Houston Baptist Huskies,New Orleans Privateers,Barstool Sportsbook,2022-01-07T17:00:00Z,1.92,137.0,1.92,137.0,True
210,Over,1.92,152.5,Houston Baptist Huskies,New Orleans Privateers,BetRivers,2022-01-07T17:00:00Z,1.91,137.0,1.91,137.0,True
211,Under,1.91,152.5,Houston Baptist Huskies,New Orleans Privateers,BetRivers,2022-01-07T17:00:00Z,1.91,137.0,1.91,137.0,True
212,Over,1.95,151.5,Houston Baptist Huskies,New Orleans Privateers,DraftKings,2022-01-07T17:00:00Z,1.93,136.5,1.93,136.5,True
213,Under,1.87,151.5,Houston Baptist Huskies,New Orleans Privateers,DraftKings,2022-01-07T17:00:00Z,1.88,136.5,1.88,136.5,True
214,Over,1.88,152.5,Houston Baptist Huskies,New Orleans Privateers,FanDuel,2022-01-07T17:00:00Z,1.93,136.5,1.93,136.5,True
215,Under,1.94,152.5,Houston Baptist Huskies,New Orleans Privateers,FanDuel,2022-01-07T17:00:00Z,1.88,136.5,1.88,136.5,True
216,Over,1.92,150.5,Houston Baptist Huskies,New Orleans Privateers,GTbets,2022-01-07T17:00:00Z,1.89,136.5,1.89,136.5,True
217,Under,1.92,150.5,Houston Baptist Huskies,New Orleans Privateers,GTbets,2022-01-07T17:00:00Z,1.85,136.5,1.85,136.5,True
