,name,price,point,home_team,away_team,bookmakers.title,commence_time,price2,point2
40,Over,1.92,125.5,Albany Great Danes,Binghamton Bearcats,GTbets,2022-01-07T00:00:00Z,1.92,125.5
41,Under,1.92,125.5,Albany Great Danes,Binghamton Bearcats,GTbets,2022-01-07T00:00:00Z,1.92,125.5
42,Over,1.91,125.5,Albany Great Danes,Binghamton Bearcats,PointsBet (US),2022-01-07T00:00:00Z,1.91,125.5
43,Under,1.91,125.5,Albany Great Danes,Binghamton Bearcats,PointsBet (US),2022-01-07T00:00:00Z,1.91,125.5
44,Over,1.88,125.0,Albany Great Danes,Binghamton Bearcats,SugarHouse,2022-01-07T00:00:00Z,1.88,125.0
45,Under,1.93,125.0,Albany Great Danes,Binghamton Bearcats,SugarHouse,2022-01-07T00:00:00Z,1.93,125.0
46,Over,1.88,125.0,Albany Great Danes,Binghamton Bearcats,TwinSpires,2022-01-07T00:00:00Z,1.88,125.0
47,Under,1.93,125.0,Albany Great Danes,Binghamton Bearcats,TwinSpires,2022-01-07T00:00:00Z,1.93,125.0
48,Over,1.85,125.0,Albany Great Danes,Binghamton Bearcats,Unibet,2022-01-07T00:00:00Z,1.85,125.0
49,Under,1.9,125.0,Albany Great Danes,Binghamton Bearcats,Unibet,2022-01-07T00:00:00Z,1.9,125.0
50,Over,1.91,125.5,Albany Great Danes,Binghamton Bearcats,William Hill (US),2022-01-07T00:00:00Z,1.91,125.5
51,Under,1.91,125.5,Albany Great Danes,Binghamton Bearcats,William Hill (US),2022-01-07T00:00:00Z,1.91,125.5
52,Over,1.91,125.5,Albany Great Danes,Binghamton Bearcats,WynnBET,2022-01-07T00:00:00Z,1.91,125.5
53,Under,1.91,125.5,Albany Great Danes,Binghamton Bearcats,WynnBET,2022-01-07T00:00:00Z,1.91,125.5
54,Over,1.92,137.0,BYU Cougars,Pacific Tigers,Barstool Sportsbook,2022-01-07T02:00:00Z,1.92,137.0
55,Under,1.91,137.0,BYU Cougars,Pacific Tigers,Barstool Sportsbook,2022-01-07T02:00:00Z,1.91,137.0
56,Over,1.91,136.5,BYU Cougars,Pacific Tigers,BetMGM,2022-01-07T02:00:00Z,1.91,136.5
57,Under,1.91,136.5,BYU Cougars,Pacific Tigers,BetMGM,2022-01-07T02:00:00Z,1.91,136.5
58,Over,1.92,137.0,BYU Cougars,Pacific Tigers,BetRivers,2022-01-07T02:00:00Z,1.92,137.0
59,Under,1.91,137.0,BYU Cougars,Pacific Tigers,BetRivers,2022-01-07T02:00:00Z,1.91,137.0
60,Over,1.91,136.5,BYU Cougars,Pacific Tigers,BetUS,2022-01-07T02:00:00Z,1.91,136.5
61,Under,1.91,136.5,BYU Cougars,Pacific Tigers,BetUS,2022-01-07T02:00:00Z,1.91,136.5
62,Over,1.91,137.5,BYU Cougars,Pacific Tigers,Bovada,2022-01-07T02:00:00Z,1.91,137.5
63,Under,1.91,137.5,BYU Cougars,Pacific Tigers,Bovada,2022-01-07T02:00:00Z,1.91,137.5
64,Over,1.91,136.5,BYU Cougars,Pacific Tigers,DraftKings,2022-01-07T02:00:00Z,1.91,136.5
65,Under,1.91,136.5,BYU Cougars,Pacific Tigers,DraftKings,2022-01-07T02:00:00Z,1.91,136.5
66,Over,1.91,136.5,BYU Cougars,Pacific Tigers,FanDuel,2022-01-07T02:00:00Z,1.91,136.5
67,Under,1.91,136.5,BYU Cougars,Pacific Tigers,FanDuel,2022-01-07T02:00:00Z,1.91,136.5
68,Over,1.92,136.5,BYU Cougars,Pacific Tigers,GTbets,2022-01-07T02:00:00Z,1.92,136.5
69,Under,1.92,136.5,BYU Cougars,Pacific Tigers,GTbets,2022-01-07T02:00:00Z,1.92,136.5
70,Over,1.91,136.5,BYU Cougars,Pacific Tigers,MyBookie.ag,2022-01-07T02:00:00Z,1.91,136.5
71,Under,1.91,136.5,BYU Cougars,Pacific Tigers,MyBookie.ag,2022-01-07T02:00:00Z,1.91,136.5
72,Over,1.91,136.5,BYU Cougars,Pacific Tigers,PointsBet (US),2022-01-07T02:00:00Z,1.91,136.5
73,Under,1.91,136.5,BYU Cougars,Pacific Tigers,PointsBet (US),2022-01-07T02:00:00Z,1.91,136.5
74,Over,1.92,137.0,BYU Cougars,Pacific Tigers,SugarHouse,2022-01-07T02:00:00Z,1.92,137.0
75,Under,1.91,137.0,BYU Cougars,Pacific Tigers,SugarHouse,2022-01-07T02:00:00Z,1.91,137.0
76,Over,1.92,137.0,BYU Cougars,Pacific Tigers,TwinSpires,2022-01-07T02:00:00Z,1.92,137.0
77,Under,1.91,137.0,BYU Cougars,Pacific Tigers,TwinSpires,2022-01-07T02:00:00Z,1.91,137.0
78,Over,1.88,137.0,BYU Cougars,Pacific Tigers,Unibet,2022-01-07T02:00:00Z,1.88,137.0
79,Under,1.87,137.0,BYU Cougars,Pacific Tigers,Unibet,2022-01-07T02:00:00Z,1.87,137.0
80,Over,1.91,137.0,BYU Cougars,Pacific Tigers,William Hill (US),2022-01-07T02:00:00Z,1.91,137.0
81,Under,1.91,137.0,BYU Cougars,Pacific Tigers,William Hill (US),2022-01-07T02:00:00Z,1.91,137.0
82,Over,1.91,136.5,BYU Cougars,Pacific Tigers,WynnBET,2022-01-07T02:00:00Z,1.91,136.5
83,Under,1.91,136.5,BYU Cougars,Pacific Tigers,WynnBET,2022-01-07T02:00:00Z,1.91,136.5
84,Over,1.92,164.0,Belmont Bruins,SE Missouri St Redhawks,Barstool Sportsbook,2022-01-07T01:00:00Z,1.92,164.0
85,Under,1.89,164.0,Belmont Bruins,SE Missouri St Redhawks,Barstool Sportsbook,2022-01-07T01:00:00Z,1.89,164.0
86,Over,1.91,164.5,Belmont Bruins,SE Missouri St Redhawks,BetMGM,2022-01-07T01:00:00Z,1.91,164.5
87,Under,1.91,164.5,Belmont Bruins,SE Missouri St Redhawks,BetMGM,2022-01-07T01:00:00Z,1.91,164.5
88,Over,1.92,164.0,Belmont Bruins,SE Missouri St Redhawks,BetRivers,2022-01-07T01:00:00Z,1.92,164.0
89,Under,1.89,164.0,Belmont Bruins,SE Missouri St Redhawks,BetRivers,2022-01-07T01:00:00Z,1.89,164.0
90,Over,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,BetUS,2022-01-07T01:00:00Z,1.91,164.0
91,Under,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,BetUS,2022-01-07T01:00:00Z,1.91,164.0
92,Over,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,Bovada,2022-01-07T01:00:00Z,1.91,164.0
93,Under,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,Bovada,2022-01-07T01:00:00Z,1.91,164.0
94,Over,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,DraftKings,2022-01-07T01:00:00Z,1.91,164.0
95,Under,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,DraftKings,2022-01-07T01:00:00Z,1.91,164.0
96,Over,1.85,163.5,Belmont Bruins,SE Missouri St Redhawks,FOX Bet,2022-01-07T01:00:00Z,1.85,163.5
97,Under,2.0,163.5,Belmont Bruins,SE Missouri St Redhawks,FOX Bet,2022-01-07T01:00:00Z,2.0,163.5
98,Over,1.89,163.5,Belmont Bruins,SE Missouri St Redhawks,FanDuel,2022-01-07T01:00:00Z,1.89,163.5
99,Under,1.93,163.5,Belmont Bruins,SE Missouri St Redhawks,FanDuel,2022-01-07T01:00:00Z,1.93,163.5
100,Over,1.92,164.0,Belmont Bruins,SE Missouri St Redhawks,GTbets,2022-01-07T01:00:00Z,1.92,164.0
101,Under,1.92,164.0,Belmont Bruins,SE Missouri St Redhawks,GTbets,2022-01-07T01:00:00Z,1.92,164.0
102,Over,1.91,162.0,Belmont Bruins,SE Missouri St Redhawks,MyBookie.ag,2022-01-07T01:00:00Z,1.91,162.0
103,Under,1.91,162.0,Belmont Bruins,SE Missouri St Redhawks,MyBookie.ag,2022-01-07T01:00:00Z,1.91,162.0
104,Over,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,PointsBet (US),2022-01-07T01:00:00Z,1.91,164.0
105,Under,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,PointsBet (US),2022-01-07T01:00:00Z,1.91,164.0
106,Over,1.92,164.0,Belmont Bruins,SE Missouri St Redhawks,SugarHouse,2022-01-07T01:00:00Z,1.92,164.0
107,Under,1.89,164.0,Belmont Bruins,SE Missouri St Redhawks,SugarHouse,2022-01-07T01:00:00Z,1.89,164.0
108,Over,1.92,164.0,Belmont Bruins,SE Missouri St Redhawks,TwinSpires,2022-01-07T01:00:00Z,1.92,164.0
109,Under,1.89,164.0,Belmont Bruins,SE Missouri St Redhawks,TwinSpires,2022-01-07T01:00:00Z,1.89,164.0
110,Over,1.88,164.0,Belmont Bruins,SE Missouri St Redhawks,Unibet,2022-01-07T01:00:00Z,1.88,164.0
111,Under,1.86,164.0,Belmont Bruins,SE Missouri St Redhawks,Unibet,2022-01-07T01:00:00Z,1.86,164.0
112,Over,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,William Hill (US),2022-01-07T01:00:00Z,1.91,164.0
113,Under,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,William Hill (US),2022-01-07T01:00:00Z,1.91,164.0
114,Over,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,WynnBET,2022-01-07T01:00:00Z,1.91,164.0
115,Under,1.91,164.0,Belmont Bruins,SE Missouri St Redhawks,WynnBET,2022-01-07T01:00:00Z,1.91,164.0
116,Over,1.89,128.0,California Golden Bears,USC Trojans,Barstool Sportsbook,2022-01-07T04:00:00Z,1.89,128.0
117,Under,1.93,128.0,California Golden Bears,USC Trojans,Barstool Sportsbook,2022-01-07T04:00:00Z,1.93,128.0
118,Over,1.91,128.5,California Golden Bears,USC Trojans,BetMGM,2022-01-07T04:00:00Z,1.91,128.5
119,Under,1.91,128.5,California Golden Bears,USC Trojans,BetMGM,2022-01-07T04:00:00Z,1.91,128.5
120,Over,1.89,128.0,California Golden Bears,USC Trojans,BetRivers,2022-01-07T04:00:00Z,1.89,128.0
121,Under,1.93,128.0,California Golden Bears,USC Trojans,BetRivers,2022-01-07T04:00:00Z,1.93,128.0
122,Over,1.91,128.5,California Golden Bears,USC Trojans,BetUS,2022-01-07T04:00:00Z,1.91,128.5
123,Under,1.91,128.5,California Golden Bears,USC Trojans,BetUS,2022-01-07T04:00:00Z,1.91,128.5
124,Over,1.91,128.5,California Golden Bears,USC Trojans,DraftKings,2022-01-07T04:00:00Z,1.91,128.5
125,Under,1.91,128.5,California Golden Bears,USC Trojans,DraftKings,2022-01-07T04:00:00Z,1.91,128.5
126,Over,1.95,128.5,California Golden Bears,USC Trojans,FanDuel,2022-01-07T04:00:00Z,1.95,128.5
127,Under,1.87,128.5,California Golden Bears,USC Trojans,FanDuel,2022-01-07T04:00:00Z,1.87,128.5
128,Over,1.92,128.5,California Golden Bears,USC Trojans,GTbets,2022-01-07T04:00:00Z,1.92,128.5
129,Under,1.92,128.5,California Golden Bears,USC Trojans,GTbets,2022-01-07T04:00:00Z,1.92,128.5
130,Over,1.91,128.0,California Golden Bears,USC Trojans,MyBookie.ag,2022-01-07T04:00:00Z,1.91,128.0
131,Under,1.91,128.0,California Golden Bears,USC Trojans,MyBookie.ag,2022-01-07T04:00:00Z,1.91,128.0
132,Over,1.91,128.5,California Golden Bears,USC Trojans,PointsBet (US),2022-01-07T04:00:00Z,1.91,128.5
133,Under,1.91,128.5,California Golden Bears,USC Trojans,PointsBet (US),2022-01-07T04:00:00Z,1.91,128.5
134,Over,1.89,128.0,California Golden Bears,USC Trojans,SugarHouse,2022-01-07T04:00:00Z,1.89,128.0
135,Under,1.93,128.0,California Golden Bears,USC Trojans,SugarHouse,2022-01-07T04:00:00Z,1.93,128.0
136,Over,1.89,128.0,California Golden Bears,USC Trojans,TwinSpires,2022-01-07T04:00:00Z,1.89,128.0
137,Under,1.93,128.0,California Golden Bears,USC Trojans,TwinSpires,2022-01-07T04:00:00Z,1.93,128.0
138,Over,1.85,128.0,California Golden Bears,USC Trojans,Unibet,2022-01-07T04:00:00Z,1.85,128.0
139,Under,1.89,128.0,California Golden Bears,USC Trojans,Unibet,2022-01-07T04:00:00Z,1.89,128.0
140,Over,1.91,128.5,California Golden Bears,USC Trojans,William Hill (US),2022-01-07T04:00:00Z,1.91,128.5
141,Under,1.91,128.5,California Golden Bears,USC Trojans,William Hill (US),2022-01-07T04:00:00Z,1.91,128.5
142,Over,1.91,128.5,California Golden Bears,USC Trojans,WynnBET,2022-01-07T04:00:00Z,1.91,128.5
143,Under,1.91,128.5,California Golden Bears,USC Trojans,WynnBET,2022-01-07T04:00:00Z,1.91,128.5
144,Over,1.88,139.5,Chicago St Cougars,Seattle Redhawks,Barstool Sportsbook,2022-01-07T01:00:00Z,1.91,140.0
145,Under,1.93,139.5,Chicago St Cougars,Seattle Redhawks,Barstool Sportsbook,2022-01-07T01:00:00Z,1.91,140.0
146,Over,1.91,139.5,Chicago St Cougars,Seattle Redhawks,BetMGM,2022-01-07T01:00:00Z,1.91,139.5
147,Under,1.91,139.5,Chicago St Cougars,Seattle Redhawks,BetMGM,2022-01-07T01:00:00Z,1.91,139.5
148,Over,1.88,139.5,Chicago St Cougars,Seattle Redhawks,BetRivers,2022-01-07T01:00:00Z,1.91,140.0
149,Under,1.93,139.5,Chicago St Cougars,Seattle Redhawks,BetRivers,2022-01-07T01:00:00Z,1.91,140.0
150,Over,1.91,140.0,Chicago St Cougars,Seattle Redhawks,BetUS,2022-01-07T01:00:00Z,1.91,140.0
151,Under,1.91,140.0,Chicago St Cougars,Seattle Redhawks,BetUS,2022-01-07T01:00:00Z,1.91,140.0
152,Over,1.87,139.5,Chicago St Cougars,Seattle Redhawks,Bovada,2022-01-07T01:00:00Z,1.87,139.5
153,Under,1.95,139.5,Chicago St Cougars,Seattle Redhawks,Bovada,2022-01-07T01:00:00Z,1.95,139.5
154,Over,2.0,141.5,Chicago St Cougars,Seattle Redhawks,DraftKings,2022-01-07T01:00:00Z,1.91,140.5
155,Under,1.83,141.5,Chicago St Cougars,Seattle Redhawks,DraftKings,2022-01-07T01:00:00Z,1.91,140.5
156,Over,1.91,140.0,Chicago St Cougars,Seattle Redhawks,FOX Bet,2022-01-07T01:00:00Z,1.91,140.0
157,Under,1.91,140.0,Chicago St Cougars,Seattle Redhawks,FOX Bet,2022-01-07T01:00:00Z,1.91,140.0
158,Over,1.95,140.5,Chicago St Cougars,Seattle Redhawks,FanDuel,2022-01-07T01:00:00Z,1.95,140.5
159,Under,1.87,140.5,Chicago St Cougars,Seattle Redhawks,FanDuel,2022-01-07T01:00:00Z,1.87,140.5
160,Over,1.92,140.0,Chicago St Cougars,Seattle Redhawks,GTbets,2022-01-07T01:00:00Z,1.92,140.0
161,Under,1.92,140.0,Chicago St Cougars,Seattle Redhawks,GTbets,2022-01-07T01:00:00Z,1.92,140.0
162,Over,1.91,139.5,Chicago St Cougars,Seattle Redhawks,MyBookie.ag,2022-01-07T01:00:00Z,1.91,140.0
163,Under,1.91,139.5,Chicago St Cougars,Seattle Redhawks,MyBookie.ag,2022-01-07T01:00:00Z,1.91,140.0
164,Over,1.91,140.0,Chicago St Cougars,Seattle Redhawks,PointsBet (US),2022-01-07T01:00:00Z,1.91,140.0
165,Under,1.91,140.0,Chicago St Cougars,Seattle Redhawks,PointsBet (US),2022-01-07T01:00:00Z,1.91,140.0
166,Over,1.88,139.5,Chicago St Cougars,Seattle Redhawks,SugarHouse,2022-01-07T01:00:00Z,1.91,140.0
167,Under,1.93,139.5,Chicago St Cougars,Seattle Redhawks,SugarHouse,2022-01-07T01:00:00Z,1.91,140.0
168,Over,1.88,139.5,Chicago St Cougars,Seattle Redhawks,TwinSpires,2022-01-07T01:00:00Z,1.91,140.0
169,Under,1.93,139.5,Chicago St Cougars,Seattle Redhawks,TwinSpires,2022-01-07T01:00:00Z,1.91,140.0
170,Over,1.85,139.5,Chicago St Cougars,Seattle Redhawks,Unibet,2022-01-07T01:00:00Z,1.87,140.0
171,Under,1.9,139.5,Chicago St Cougars,Seattle Redhawks,Unibet,2022-01-07T01:00:00Z,1.87,140.0
172,Over,1.91,139.5,Chicago St Cougars,Seattle Redhawks,William Hill (US),2022-01-07T01:00:00Z,1.91,139.5
173,Under,1.91,139.5,Chicago St Cougars,Seattle Redhawks,William Hill (US),2022-01-07T01:00:00Z,1.91,139.5
174,Over,1.91,140.0,Chicago St Cougars,Seattle Redhawks,WynnBET,2022-01-07T01:00:00Z,1.91,140.0
175,Under,1.91,140.0,Chicago St Cougars,Seattle Redhawks,WynnBET,2022-01-07T01:00:00Z,1.91,140.0
176,Over,1.92,143.5,Cincinnati Bearcats,SMU Mustangs,Barstool Sportsbook,2022-01-07T02:30:00Z,1.92,143.5
177,Under,1.89,143.5,Cincinnati Bearcats,SMU Mustangs,Barstool Sportsbook,2022-01-07T02:30:00Z,1.89,143.5
