,name,price,point,home_team,away_team,bookmakers.title,commence_time,price1,point1,price2,point2
37,Under,1.92,134.5,Boston Univ. Terriers,Loyola (MD) Greyhounds,GTbets,2022-01-07T22:00:00Z,2.0,135.0,2.0,135.0
38,Over,1.86,134.0,Boston Univ. Terriers,Loyola (MD) Greyhounds,Unibet,2022-01-07T22:00:00Z,1.94,135.5,1.94,135.5
39,Under,1.88,134.0,Boston Univ. Terriers,Loyola (MD) Greyhounds,Unibet,2022-01-07T22:00:00Z,1.88,135.5,1.88,135.5
40,Over,1.91,134.5,Boston Univ. Terriers,Loyola (MD) Greyhounds,William Hill (US),2022-01-07T22:00:00Z,1.92,134.5,1.92,134.5
41,Under,1.91,134.5,Boston Univ. Terriers,Loyola (MD) Greyhounds,William Hill (US),2022-01-07T22:00:00Z,1.92,134.5,1.92,134.5
42,Over,1.88,130.0,Butler Bulldogs,Xavier Musketeers,Barstool Sportsbook,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5
43,Under,1.93,130.0,Butler Bulldogs,Xavier Musketeers,Barstool Sportsbook,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5
44,Over,1.91,130.5,Butler Bulldogs,Xavier Musketeers,BetMGM,2022-01-08T01:30:00Z,1.86,135.0,1.86,135.0
45,Under,1.91,130.5,Butler Bulldogs,Xavier Musketeers,BetMGM,2022-01-08T01:30:00Z,1.88,135.0,1.88,135.0
46,Over,1.93,131.5,Butler Bulldogs,Xavier Musketeers,BetRivers,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5
47,Under,1.88,131.5,Butler Bulldogs,Xavier Musketeers,BetRivers,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5
48,Over,1.91,131.5,Butler Bulldogs,Xavier Musketeers,BetUS,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5
49,Under,1.91,131.5,Butler Bulldogs,Xavier Musketeers,BetUS,2022-01-08T01:30:00Z,1.91,134.5,1.91,134.5
50,Over,1.91,131.0,Butler Bulldogs,Xavier Musketeers,Bovada,2022-01-08T01:30:00Z,1.89,131.0,1.89,131.0
51,Under,1.91,131.0,Butler Bulldogs,Xavier Musketeers,Bovada,2022-01-08T01:30:00Z,1.93,131.0,1.93,131.0
52,Over,1.91,130.5,Butler Bulldogs,Xavier Musketeers,DraftKings,2022-01-08T01:30:00Z,1.91,131.5,1.91,130.5
53,Under,1.91,130.5,Butler Bulldogs,Xavier Musketeers,DraftKings,2022-01-08T01:30:00Z,1.91,131.5,1.91,130.5
54,Over,1.91,131.5,Butler Bulldogs,Xavier Musketeers,FanDuel,2022-01-08T01:30:00Z,1.89,131.0,1.89,131.0
55,Under,1.91,131.5,Butler Bulldogs,Xavier Musketeers,FanDuel,2022-01-08T01:30:00Z,1.93,131.0,1.93,131.0
56,Over,1.92,130.5,Butler Bulldogs,Xavier Musketeers,GTbets,2022-01-08T01:30:00Z,1.91,132.0,1.91,130.5
57,Under,1.92,130.5,Butler Bulldogs,Xavier Musketeers,GTbets,2022-01-08T01:30:00Z,1.91,132.0,1.91,130.5
58,Over,1.91,131.5,Butler Bulldogs,Xavier Musketeers,PointsBet (US),2022-01-08T01:30:00Z,1.91,131.5,1.91,130.5
59,Under,1.91,131.5,Butler Bulldogs,Xavier Musketeers,PointsBet (US),2022-01-08T01:30:00Z,1.91,131.5,1.91,130.5
60,Over,1.93,131.5,Butler Bulldogs,Xavier Musketeers,SugarHouse,2022-01-08T01:30:00Z,1.87,131.5,1.91,131.0
61,Under,1.88,131.5,Butler Bulldogs,Xavier Musketeers,SugarHouse,2022-01-08T01:30:00Z,1.95,131.5,1.91,131.0
