,name,price,point,home_team,away_team,bookmakers.title,commence_time
49,Under,1.93,150.5,Arkansas Razorbacks,Missouri Tigers,LowVig.ag,2022-01-13T02:00:00Z
50,Over,1.91,150.5,Arkansas Razorbacks,Missouri Tigers,PointsBet (US),2022-01-13T02:00:00Z
51,Under,1.91,150.5,Arkansas Razorbacks,Missouri Tigers,PointsBet (US),2022-01-13T02:00:00Z
52,Over,1.92,151.5,Arkansas Razorbacks,Missouri Tigers,SugarHouse,2022-01-13T02:00:00Z
53,Under,1.91,151.5,Arkansas Razorbacks,Missouri Tigers,SugarHouse,2022-01-13T02:00:00Z
54,Over,1.92,151.5,Arkansas Razorbacks,Missouri Tigers,TwinSpires,2022-01-13T02:00:00Z
55,Under,1.91,151.5,Arkansas Razorbacks,Missouri Tigers,TwinSpires,2022-01-13T02:00:00Z
56,Over,1.88,151.5,Arkansas Razorbacks,Missouri Tigers,Unibet,2022-01-13T02:00:00Z
57,Under,1.87,151.5,Arkansas Razorbacks,Missouri Tigers,Unibet,2022-01-13T02:00:00Z
58,Over,1.91,150.5,Arkansas Razorbacks,Missouri Tigers,William Hill (US),2022-01-13T02:00:00Z
59,Under,1.91,150.5,Arkansas Razorbacks,Missouri Tigers,William Hill (US),2022-01-13T02:00:00Z
60,Over,1.91,150.5,Arkansas Razorbacks,Missouri Tigers,WynnBET,2022-01-13T02:00:00Z
61,Under,1.91,150.5,Arkansas Razorbacks,Missouri Tigers,WynnBET,2022-01-13T02:00:00Z
62,Over,1.93,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,Barstool Sportsbook,2022-01-13T02:00:00Z
63,Under,1.89,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,Barstool Sportsbook,2022-01-13T02:00:00Z
64,Over,1.91,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,BetMGM,2022-01-13T02:00:00Z
65,Under,1.91,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,BetMGM,2022-01-13T02:00:00Z
66,Over,1.93,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,BetRivers,2022-01-13T02:00:00Z
67,Under,1.89,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,BetRivers,2022-01-13T02:00:00Z
68,Over,1.91,133.0,Boston College Eagles,Georgia Tech Yellow Jackets,BetUS,2022-01-13T02:00:00Z
69,Under,1.91,133.0,Boston College Eagles,Georgia Tech Yellow Jackets,BetUS,2022-01-13T02:00:00Z
70,Over,1.87,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,Bovada,2022-01-13T02:00:00Z
71,Under,1.95,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,Bovada,2022-01-13T02:00:00Z
72,Over,1.87,131.5,Boston College Eagles,Georgia Tech Yellow Jackets,DraftKings,2022-01-13T02:00:00Z
73,Under,1.95,131.5,Boston College Eagles,Georgia Tech Yellow Jackets,DraftKings,2022-01-13T02:00:00Z
74,Over,1.91,132.0,Boston College Eagles,Georgia Tech Yellow Jackets,FanDuel,2022-01-13T02:00:00Z
75,Under,1.91,132.0,Boston College Eagles,Georgia Tech Yellow Jackets,FanDuel,2022-01-13T02:00:00Z
76,Over,1.92,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,GTbets,2022-01-13T02:00:00Z
77,Under,1.92,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,GTbets,2022-01-13T02:00:00Z
78,Over,1.93,132.0,Boston College Eagles,Georgia Tech Yellow Jackets,LowVig.ag,2022-01-13T02:00:00Z
79,Under,1.93,132.0,Boston College Eagles,Georgia Tech Yellow Jackets,LowVig.ag,2022-01-13T02:00:00Z
80,Over,1.95,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,PointsBet (US),2022-01-13T02:00:00Z
81,Under,1.87,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,PointsBet (US),2022-01-13T02:00:00Z
82,Over,1.93,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,SugarHouse,2022-01-13T02:00:00Z
83,Under,1.89,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,SugarHouse,2022-01-13T02:00:00Z
84,Over,1.93,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,TwinSpires,2022-01-13T02:00:00Z
85,Under,1.89,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,TwinSpires,2022-01-13T02:00:00Z
86,Over,1.89,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,Unibet,2022-01-13T02:00:00Z
87,Under,1.86,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,Unibet,2022-01-13T02:00:00Z
88,Over,1.91,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,William Hill (US),2022-01-13T02:00:00Z
89,Under,1.91,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,William Hill (US),2022-01-13T02:00:00Z
90,Over,1.95,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,WynnBET,2022-01-13T02:00:00Z
91,Under,1.87,132.5,Boston College Eagles,Georgia Tech Yellow Jackets,WynnBET,2022-01-13T02:00:00Z
92,Over,1.89,128.5,Bradley Braves,Evansville Purple Aces,Barstool Sportsbook,2022-01-13T01:00:00Z
93,Under,1.93,128.5,Bradley Braves,Evansville Purple Aces,Barstool Sportsbook,2022-01-13T01:00:00Z
94,Over,1.91,128.5,Bradley Braves,Evansville Purple Aces,BetMGM,2022-01-13T01:00:00Z
95,Under,1.91,128.5,Bradley Braves,Evansville Purple Aces,BetMGM,2022-01-13T01:00:00Z
96,Over,1.89,128.5,Bradley Braves,Evansville Purple Aces,BetRivers,2022-01-13T01:00:00Z
97,Under,1.93,128.5,Bradley Braves,Evansville Purple Aces,BetRivers,2022-01-13T01:00:00Z
98,Over,1.91,127.5,Bradley Braves,Evansville Purple Aces,BetUS,2022-01-13T01:00:00Z
99,Under,1.91,127.5,Bradley Braves,Evansville Purple Aces,BetUS,2022-01-13T01:00:00Z
100,Over,1.91,128.5,Bradley Braves,Evansville Purple Aces,Bovada,2022-01-13T01:00:00Z
101,Under,1.91,128.5,Bradley Braves,Evansville Purple Aces,Bovada,2022-01-13T01:00:00Z
102,Over,1.95,129.0,Bradley Braves,Evansville Purple Aces,DraftKings,2022-01-13T01:00:00Z
103,Under,1.87,129.0,Bradley Braves,Evansville Purple Aces,DraftKings,2022-01-13T01:00:00Z
104,Over,1.88,127.5,Bradley Braves,Evansville Purple Aces,FanDuel,2022-01-13T01:00:00Z
105,Under,1.94,127.5,Bradley Braves,Evansville Purple Aces,FanDuel,2022-01-13T01:00:00Z
106,Over,1.92,128.5,Bradley Braves,Evansville Purple Aces,GTbets,2022-01-13T01:00:00Z
107,Under,1.92,128.5,Bradley Braves,Evansville Purple Aces,GTbets,2022-01-13T01:00:00Z
108,Over,1.89,127.0,Bradley Braves,Evansville Purple Aces,LowVig.ag,2022-01-13T01:00:00Z
109,Under,1.97,127.0,Bradley Braves,Evansville Purple Aces,LowVig.ag,2022-01-13T01:00:00Z
110,Over,1.91,128.5,Bradley Braves,Evansville Purple Aces,PointsBet (US),2022-01-13T01:00:00Z
111,Under,1.91,128.5,Bradley Braves,Evansville Purple Aces,PointsBet (US),2022-01-13T01:00:00Z
112,Over,1.89,128.5,Bradley Braves,Evansville Purple Aces,SugarHouse,2022-01-13T01:00:00Z
113,Under,1.93,128.5,Bradley Braves,Evansville Purple Aces,SugarHouse,2022-01-13T01:00:00Z
114,Over,1.89,128.5,Bradley Braves,Evansville Purple Aces,TwinSpires,2022-01-13T01:00:00Z
115,Under,1.93,128.5,Bradley Braves,Evansville Purple Aces,TwinSpires,2022-01-13T01:00:00Z
116,Over,1.85,128.5,Bradley Braves,Evansville Purple Aces,Unibet,2022-01-13T01:00:00Z
117,Under,1.89,128.5,Bradley Braves,Evansville Purple Aces,Unibet,2022-01-13T01:00:00Z
118,Over,1.91,128.5,Bradley Braves,Evansville Purple Aces,William Hill (US),2022-01-13T01:00:00Z
119,Under,1.91,128.5,Bradley Braves,Evansville Purple Aces,William Hill (US),2022-01-13T01:00:00Z
120,Over,1.91,128.5,Bradley Braves,Evansville Purple Aces,WynnBET,2022-01-13T01:00:00Z
121,Under,1.91,128.5,Bradley Braves,Evansville Purple Aces,WynnBET,2022-01-13T01:00:00Z
122,Over,1.93,152.5,Cal Baptist Lancers,Dixie State Trailblazers,Barstool Sportsbook,2022-01-13T03:00:00Z
123,Under,1.88,152.5,Cal Baptist Lancers,Dixie State Trailblazers,Barstool Sportsbook,2022-01-13T03:00:00Z
124,Over,1.91,151.5,Cal Baptist Lancers,Dixie State Trailblazers,BetMGM,2022-01-13T03:00:00Z
125,Under,1.91,151.5,Cal Baptist Lancers,Dixie State Trailblazers,BetMGM,2022-01-13T03:00:00Z
126,Over,1.93,152.5,Cal Baptist Lancers,Dixie State Trailblazers,BetRivers,2022-01-13T03:00:00Z
127,Under,1.88,152.5,Cal Baptist Lancers,Dixie State Trailblazers,BetRivers,2022-01-13T03:00:00Z
128,Over,1.91,152.0,Cal Baptist Lancers,Dixie State Trailblazers,BetUS,2022-01-13T03:00:00Z
129,Under,1.91,152.0,Cal Baptist Lancers,Dixie State Trailblazers,BetUS,2022-01-13T03:00:00Z
130,Over,1.91,153.0,Cal Baptist Lancers,Dixie State Trailblazers,Bovada,2022-01-13T03:00:00Z
131,Under,1.91,153.0,Cal Baptist Lancers,Dixie State Trailblazers,Bovada,2022-01-13T03:00:00Z
132,Over,1.91,151.0,Cal Baptist Lancers,Dixie State Trailblazers,DraftKings,2022-01-13T03:00:00Z
133,Under,1.91,151.0,Cal Baptist Lancers,Dixie State Trailblazers,DraftKings,2022-01-13T03:00:00Z
134,Over,1.91,152.0,Cal Baptist Lancers,Dixie State Trailblazers,FanDuel,2022-01-13T03:00:00Z
135,Under,1.91,152.0,Cal Baptist Lancers,Dixie State Trailblazers,FanDuel,2022-01-13T03:00:00Z
136,Over,1.92,152.0,Cal Baptist Lancers,Dixie State Trailblazers,GTbets,2022-01-13T03:00:00Z
137,Under,1.92,152.0,Cal Baptist Lancers,Dixie State Trailblazers,GTbets,2022-01-13T03:00:00Z
138,Over,1.93,153.0,Cal Baptist Lancers,Dixie State Trailblazers,LowVig.ag,2022-01-13T03:00:00Z
139,Under,1.93,153.0,Cal Baptist Lancers,Dixie State Trailblazers,LowVig.ag,2022-01-13T03:00:00Z
140,Over,1.87,152.0,Cal Baptist Lancers,Dixie State Trailblazers,PointsBet (US),2022-01-13T03:00:00Z
141,Under,1.95,152.0,Cal Baptist Lancers,Dixie State Trailblazers,PointsBet (US),2022-01-13T03:00:00Z
142,Over,1.93,152.5,Cal Baptist Lancers,Dixie State Trailblazers,SugarHouse,2022-01-13T03:00:00Z
143,Under,1.88,152.5,Cal Baptist Lancers,Dixie State Trailblazers,SugarHouse,2022-01-13T03:00:00Z
144,Over,1.93,152.5,Cal Baptist Lancers,Dixie State Trailblazers,TwinSpires,2022-01-13T03:00:00Z
145,Under,1.88,152.5,Cal Baptist Lancers,Dixie State Trailblazers,TwinSpires,2022-01-13T03:00:00Z
146,Over,1.89,152.5,Cal Baptist Lancers,Dixie State Trailblazers,Unibet,2022-01-13T03:00:00Z
147,Under,1.85,152.5,Cal Baptist Lancers,Dixie State Trailblazers,Unibet,2022-01-13T03:00:00Z
148,Over,1.91,152.0,Cal Baptist Lancers,Dixie State Trailblazers,William Hill (US),2022-01-13T03:00:00Z
149,Under,1.91,152.0,Cal Baptist Lancers,Dixie State Trailblazers,William Hill (US),2022-01-13T03:00:00Z
150,Over,1.87,152.0,Cal Baptist Lancers,Dixie State Trailblazers,WynnBET,2022-01-13T03:00:00Z
151,Under,1.95,152.0,Cal Baptist Lancers,Dixie State Trailblazers,WynnBET,2022-01-13T03:00:00Z
152,Over,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,Barstool Sportsbook,2022-01-13T00:00:00Z
153,Under,1.91,140.5,Campbell Fighting Camels,Charleston Southern Buccaneers,Barstool Sportsbook,2022-01-13T00:00:00Z
154,Over,1.91,139.5,Campbell Fighting Camels,Charleston Southern Buccaneers,BetMGM,2022-01-13T00:00:00Z
